Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,ISSN,Favorites,Rating,Physical Location,Status,Status Incompleted Reason,Status Hidden,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Previously Owned,Up Next,Position,Uploaded Image URL,Activities
Construindo Aplicações Node com MongoDB e Backbone,,Prototipação rápida e implantação escalável,,,Mike Wilson,"Wilson, Mike",,,,,,Novatec Editora,,2013/01/07,2013,,,,Computers,"“Este livro não apenas ajudará você a aprender Node.js, mas também Backbone.js e MongoDB. Cada uma dessas ferramentas é ótima por si só, mas este livro reúne todos esses elementos para criar uma incrível rede social em tempo real.” — Jamie Munro, autor de 20 Recipes for Programming PhoneGap (O’Reilly)Construa uma aplicação do backend ao navegador com o Node.js e abra as portas para a programação de eventos em tempo real. Com este livro prático, você aprenderá a criar uma aplicação de rede social semelhante ao LinkedIn e ao Facebook, mas com uma pitada de tempo real. E você a construirá com apenas uma linguagem de programação: JavaScript.Se você é um desenvolvedor web experiente, mas não familiarizado com JavaScript, a primeira seção do livro apresenta para você as tecnologias centrais do projeto: Node.js, Backbone.js e o repositório de dados MongoDB. Você então avançará para o projeto — uma aplicação altamente responsiva e escalável — guiado por explicações claras e muitos exemplos de código.- Aprenda sobre os módulos-chave no Node.js para a criação de aplicações de tempo real.- Utilize o framework do Backbone.js para escrever códigos legíveis de navegador e manter uma melhor integração de dados com o MongoDB.- Estruture arquivos de projeto como uma base para códigos futuros.- Crie contas de usuário e aprenda a proteger os dados.- Utilize templates do Backbone.js para construir as interfaces de usuário da aplicação e integre o controle de acesso com o Node.js.- Desenvolva uma lista de contatos para ajudar os usuários a utilizar links e rastrear outras contas.- Utilize o Socket.io para criar uma funcionalidade de bate-papo em tempo real.- Estenda suas interfaces de usuário para fornecer aos usuários informações atualizadas minuto a minuto.",,,,,,,,,,,240,,,,,,português,,,,,,9788575223413,,0,4.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 02:00:45.867599010,,,,,,,,fKqjAwAAQBAJ,Profissional,0,,,,,
CONSTRUINDO APLICAÇOES WEB COM PHP E MYSQL,,,,,ANDRE MILANI,"MILANI, ANDRE",,,,,,NOVATEC,,,,,,,,"Este livro apresenta os passos necessários para conhecer e utilizar o PHP e o MySQL por meio de exemplos, ensinando ao leitor desde a linguagem de programação e a modelagem de banco de dados até seu uso avançado por meio de construção de exemplos.",,,,,,,,,,,336,,,,,,português,,,,,,9788575222195,,0,4.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 01:26:51.374716043,,,,,,,,X8wURAAACAAJ,Profissional,0,,,,http://images.amazon.com/images/P/8575222198.01Z.jpg,
"Construindo Aplicativos Android com HTML, CSS e JavaScript",,Criando Aplicativos Nativos com Ferramentas Baseadas nos Padrões Web,,,"Brian Jepson, Jonathan Stark","Jepson, Brian",,,,,,Novatec Editora,,2012/11/06,2012,,,,Computers,"É verdade: se você conhece HTML, CSS e JavaScript, já tem as ferramentas que precisa para desenvolver aplicativos Android. Agora atualizada para HTML5, a segunda edição deste guia prático mostra a você como usar padrões web open source para projetar e criar aplicativos que podem ser adaptados para qualquer dispositivo Android.Você aprenderá a criar um aplicativo web amigável para Android na plataforma de sua preferência e, então, a usar o framework gratuito PhoneGap, da Adobe, para convertê-lo em um aplicativo Android nativo.Descubra por que os aplicativos móveis independentes de dispositivo são a onda do futuro e comece a criar aplicativos que ofereçam mais flexibilidade e alcance muito mais amplo.- Converta um website em um aplicativo web completo com indicadores de progresso e outros recursos.- Adicione animações com o JQTouch para fazer seu aplicativo web se parecer e agir como um aplicativo Android nativo.- Use armazenamento de dados no lado do cliente com aplicativos que são executados quando o dispositivo Android estiver offline.- Use o PhoneGap para se conectar a recursos avançados do Android, incluindo o acelerômetro, a geolocalização e os alertas.- Teste e depure seu aplicativo na Web com usuários reais e envie o produto pronto ao Android Market.",,,,,,,,,,,200,,,,,,português,,,,,,9788575223253,,0,2.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 01:26:51.409129977,,,,,,,,Tx9WDQAAQBAJ,Profissional,0,,,,,
Construindo Aplicativos Móveis com Java,,Usando GWT e Phonegap,,,Joshua Marinacci,"Marinacci, Joshua",,,,,,Novatec Editora,,2012/08/21,2012,,,,Computers,"Quer desenvolver aplicativos móveis com Java – e fazê-los funcionar em uma variedade de dispositivos com os sistemas operacionais iOS e Android? Você veio ao lugar certo.Este livro orientado por projetos mostra como criar aplicativos portáveis com dois incríveis frameworks open source, Google Web Tools (GWT) e PhoneGap. Com essas ferramentas, você aprenderá a escrever código Java que é compilado em Javascript e HTML multiplataforma e descobrirá como tirar vantagem de recursos em vários dispositivos populares, tais como a câmera, acelerômetro e GPS.- Comece com o GWT para criar um aplicativo de pesquisa no Twitter- Desenvolva um aplicativo web e adapte-o para mobilidade com CSS- Adicione controles cêntricos sensíveis ao toque com a biblioteca GWT Mobile UI- Desenvolva um aplicativo prático para registro de vinhos que rastreia a localização GPS do usuário- Use técnicas para fazer uma versão móvel de seu aplicativo web ou desktop- Trabalhe com HTML5 Canvas para construir um jogo para dispositivos móveis- Empacote seus aplicativos para iOS, webOS e Android com PhoneGap",,,,,,,,,,,104,,,,,,português,,,,,,9788575223147,,0,2.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 01:26:51.386479973,,,,,,,,-ip4DQAAQBAJ,Profissional,0,,,,,
Construindo uma Aplicação E-commerce com MEAN,,"Desenvolva uma aplicação de e-commerce do começo ao fim, em tempo real, usando MEAN",,,Adrian Mejia,"Mejia, Adrian",,,,,,Novatec Editora,,2016/06/14,2016,,,,Computers,"Este livro descreve, passo a passo, como criar sua própria aplicação de e-commerce, desenvolvida paralelamente ao processo de aprendizado e usando a tecnologia MEAN. Você aprenderá a desenvolver um site de e-commerce de alta qualidade e capaz de entrar em produção e terá condições e conhecimento para adicionar seus próprios recursos a ele. O livro começa apresentando a plataforma MEAN, depois segue um roteiro passo a passo para construir uma loja com o AngularJS, um banco de dados com o MongoDB, uma API do tipo REST e, então, mostra como “amarrar” tudo isso com o AngularJS. Você verá como gerenciar a autenticação dos usuários, verificar as múltiplas plataformas de pagamento, adicionar navegação e busca a produtos, fazer o deploy do site finalizado e, finalmente, adicionar recursos personalizados e específicos de alta qualidade. Ao término do livro, você será capaz de construir e usar seu próprio aplicativo de e-commerce no mundo real e adicionar seus próprios recursos a ele. Para quem este livro foi escrito Este livro é direcionado ao desenvolvedor web ou full stack em JavaScript que precisa desenvolver aplicações de e-commerce usando o MEAN. Algum conhecimento básico a respeito da tecnologia MEAN é altamente recomendado. Este livro ensina como •               Empregar o AngularJS para construir componentes de UI responsivos •               Conhecer e utilizar ferramentas de teste do AngularJS, como Jasmine, Karma e Protractor •               Implementar múltiplas estratégias de autenticação, como OAuth, JsonWebToken e Sessions •               Melhorar a usabilidade do website associando-o a redes sociais como Facebook, Twitter e Google •               Criar integração com plataformas de pagamento como o PayPal •               Implementar a funcionalidade de busca por texto no MongoDB •               Criar um sistema de categorização flexível para organizar os produtos da loja •               Implementar conexões seguras à aplicação usando certificados SSL e plataformas de pagamento nos ambientes de produção",,,,,,,,,,,216,,,,,,português,,,,,,9788575225097,,0,3.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 01:48:23.335922956,,,,,,,,5FNgDAAAQBAJ,Profissional,0,,,,,
Containers com Docker,,Do desenvolvimento à produção,,,Daniel Romero,"Romero, Daniel",,,,,,Editora Casa do Código,,2015/10/02,2015,,,,Computers,"Dores de cabeça com configuração de ambiente, noites perdidas com versões inválidas de algum pacote e tempo perdido na instalação de pré-requisitos, sendo que tudo isso poderia ser facilmente automatizado e nenhum dos inconvenientes precisaria acontecer. Neste livro, Daniel Romero mostrará como esses e outros problemas podem ser resolvidos com Docker, poderosa ferramenta que nos permite isolar e manter diferentes ambientes de forma simples e facilmente configurável. Aproveite o primeiro livro sobre Docker do Brasil. Prefácio escrito por Jérôme Petazzoni, desenvolvedor do Docker.",,,,,,,,,,,127,,,,,,inglês,,,,,,9788555191046,,0,5.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 02:11:57.770645976,,,,,,,,t2mCCwAAQBAJ,Profissional,0,,,,,
Controlando Versoes Com Git E Github,,,,,"Alexandre Aquiles, Rodrigo Ferreira","Aquiles, Alexandre",,,,,,CASA DO CODIGO,,,,,,,,,,,,,,,,,,,199,,,,,,português,,,,,,9788566250534,,0,4.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 02:10:01.407315969,,,,,,,,v28fvgAACAAJ,Profissional,0,,,,http://images.amazon.com/images/P/8566250532.01Z.jpg,
"Core Java, volume 1",,fundamentos,,,"Cay S. Horstmann, Gary Cornell","Horstmann, Cay S.",,,,,,Pearson Education do Brasil,,,2010,,,,,"'Core Java' é um guia para programadores dominarem a linguagem Java. Escrito para a nova plataforma Java SE 6, explica ao leitor as novidades dessa versão. A obra oferece alguns códigos de exemplo que demonstra diversos recursos de linguagem e biblioteca. Os programas de exemplo demonstram situações reais. Os autores explicam tópicos como programação orientada a objetos, reflexão e proxies, interfaces e classes internas, o modelo de ouvinte de eventos, tratamento de exceções, programação genérica, a estrutura de coleções e concurrency, entre outros.",,,,,,,,,,,383,,,,,,português,,,,,,9788576053576,,0,3.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 02:00:46.041139960,,,,,,,,8sFUQgAACAAJ,Profissional,0,,,,http://images.amazon.com/images/P/8576053578.01Z.jpg,
Criando Aplicaçoes Para Redes Sociais,,,,,Gavin Bell,"Bell, Gavin",,,,,,NOVATEC,,,,,,,,"Criar uma aplicação web que atraia e retenha os visitantes já é uma tarefa difícil; criar uma aplicação de redes sociais que os incentive a interagir uns com os outros exige um planejamento ainda mais cuidadoso. Este livro procura oferecer soluções para as dificuldades que o leitor enfrentará quando estiver construindo um site de comunidade eficiente, que faça os visitantes sentirem que encontraram uma nova casa na Internet. Se uma empresa estiver pronta para fazer parte das redes sociais, este livro visa ajudar a dar os primeiros passos. Se um novo site estiver sendo criado desde o princípio ou reformulando um já existente, 'Criando Aplicações para Redes Sociais' procura ajudar nas escolher de ferramentas apropriadas para o público, para que seja possível que se crie uma infraestrutura que promova interação e ajude a comunidade a participar.O leitor também aprenderá sobre modelos de negócios para diversas aplicações de redes sociais, com exemplos de sites voltados para os membros, para o serviço ao cliente e para os colaboradores. Recomenda-se experiência prévia com desenvolvimento web.",,,,,,,,,,,472,,,,,,português,,,,,,9788575222157,,0,4.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 01:48:23.367663979,,,,,,,,_rpHbwAACAAJ,Profissional,0,,,,http://images.amazon.com/images/P/8575222155.01Z.jpg,
Criando Aplicações Web com WordPress,,WordPress como um Framework de Aplicações,,,"Brian Messenlehner , Jason Coleman","Messenlehner, Brian",,,,,,Novatec Editora,,2014/10/10,2014,,,,Computers,"O WordPress é muito mais que uma plataforma de blogging. Conforme este guia prático mostra claramente, o WordPress pode ser usado para criar qualquer tipo de aplicação web – não apenas sites de conteúdo, mas aplicações completas para realizar tarefas específicas. Se tiver experiência com PHP, além de um pouco de conhecimento de HTML, CSS e JavaScript, você aprenderá a usar plugins e temas WordPress para desenvolver aplicações web, aplicativos móveis nativos, web services e até mesmo uma rede com vários sites WordPress, rápidos, escaláveis e seguros. Os autores utilizam exemplos de sua aplicação SchoolPress recentemente disponibilizada para explicar conceitos e técnicas ao longo do livro. Todos os códigos de exemplo estão disponíveis no GitHub. ·       Compare o WordPress com os frameworks tradicionais para desenvolvimento de aplicações. ·       Utilize temas para implementar visões e plugins para funcionalidades do backend. ·       Obtenha sugestões para escolher plugins WordPress – ou crie seus próprios plugins. ·       Administre contas de usuários e suas funções (roles), além de acessar seus dados. ·       Implemente comportamentos assíncronos em sua aplicação usando a jQuery. ·       Desenvolva aplicações nativas para o iOS e o Android usando wrappers. ·       Incorpore bibliotecas PHP, APIs externas e plugins para web services. ·       Receba pagamentos por meio de plugins para e-commerce e para inscrição de usuários. ·       Utilize técnicas para agilizar e escalar sua aplicação WordPress. “O WordPress é mais que um simples software; faz parte de um movimento que o está transformando no sistema operacional padrão de mercado na Web. Mais que apenas um blog ou um CMS, quando você aprender a usar o WordPress como plataforma para aplicações, estará na crista da onda de seu desenvolvimento.” – Matt Mullenweg, cofundador do WordPress “Brian e Jason cresceram juntos com o WordPress durante anos e mostraram, com sucesso, de que modo os desenvolvedores podem tirar proveito dessa ferramenta para criar aplicações mais seguras e que tenham melhor desempenho na metade do tempo, considerando os tipos adequados de aplicação.” – Jake Goldman, presidente e fundador da 10up",,,,,,,,,,,512,,,,,,português,,,,,,9788575223772,,0,2.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 01:48:23.391690015,,,,,,,,1KPDBAAAQBAJ,Profissional,0,,,,,
Criando Sistemas RESTful com PHP e jQuery,,Uma abordagem prática na criação de um sistema de vendas,,,Daniel Schmitz,"Schmitz, Daniel",,,,,,Novatec Editora,,2013/06/17,2013,,,,Computers,"Este livro traz uma abordagem prática ao desenvolvimento de sistemas utilizando a metodologia RESTful, na qual possui como uma das principais características o isolamento entre a camada de negócio e a camada de visão, de forma que ambas possam trabalhar independentes uma da outra. O conteúdo apresentado é contemplado com exemplos práticos e com o desenvolvimento de um sistema de vendas, utilizando PHP, jQuery e Slim Framework.",,,,,,,,,,,152,,,,,,português,,,,,,9788575223604,,0,4.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 01:26:51.381651997,,,,,,,Fila 0 | Coluna 1 | Zona 1,7kOZAwAAQBAJ,Profissional,0,,0,,,
Criando um E-Commerce com CodeIgniter,,Aprenda a criar sua própria plataforma de e-commerce,,,Ademir C. Gabardo,"Gabardo, Ademir C.",,,,,,Novatec Editora,,2015/10/06,2015,,,,Business & Economics,"O mercado de e-commerce caminha na contramão do cenário econômico atual: enquanto diversos setores enfrentam crises e recessão econômica, o mercado de varejo online persiste com crescentes lucros, bem acima da média nacional. Podem-se destacar como parte do sucesso fatores como custo operacional reduzido, remoção de limites geográficos, boa penetração de mercado e grande interesse por parte dos consumidores.A demanda por analistas e engenheiros de software dedicados ao e-commerce acompanha a tendência do mercado, crescendo na mesma proporção que novos negócios surgem. O livro Criando um e-commerce com o CodeIgniter constrói de forma didática um exemplo de loja online, com sistema de cobrança por cartão de crédito e boleto bancário, utilizando a versão 3 do consagrado framework PHP CodeIgniter.São abordados temas como:•  Construção do carrinho de compras.•  Consumo de dados por meio da API REST.•  Cálculo de frete com base em tarifas praticadas por transportadoras e no web service dos Correios.•  Envio de emails para clientes.•  Gerenciamento de sessão e autenticação de usuários.Também é apresentada uma aplicação simples para os leitores menos experientes na utilização de frameworks: um exemplo de blog como ferramenta para construção de aplicações PHP. Os exemplos são construídos de maneira incremental, de modo que ao longo do desenvolvimento o leitor se familiarize com os recursos e o método de trabalho do framework de forma prática e intuitiva.",,,,,,,,,,,304,,,,,,português,,,,,,9788575224571,,0,3.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 01:48:23.364675045,,,,,,,,DB2qCgAAQBAJ,Profissional,0,,,,,
Crie aplicações com Angular,,O novo framework do Google,,,Thiago Guedes,"Guedes, Thiago",,,,,,CASA DO CODIGO.,,2017/05/05,2017,,,,Computers,"Angular 2 é um framework para desenvolvimento front-end com HTML, CSS e TypeScript que, no final, é compilado para JavaScript. Com ele, você pode desenvolver aplicações web de forma rápida e fácil usando todas as novidades da web moderna, e ainda poderá expandir para plataforma mobile. Neste livro, você vai aprender tudo o que precisa para iniciar seu desenvolvimento usando este framework feito pelo Google. Thiago Guedes apresenta cada parte que compõe uma aplicação Angular 2, incluindo o novo JavaScript e as novas funções do ES6. Serão abordados conceitos como Default Parameters, Arrow functions, Destructuring, Map, Reduce, Filter e muito mais.",,,,,,,,,,,240,,,,,,inglês,,,,,,9788555192715,,0,1.500000,,Read,,,,2021/02/22,,,,,,0,,,,,2021/02/22 00:35:07.121273040,,,Digital,,,,Livro digital,GN7QDgAAQBAJ,Profissional,0,,0,,,"[{""status"":0,""activityYear"":2021,""param1"":""1"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone de Antonio Armando Filho"",""type"":12,""addedDate"":""2021\/02\/22 00:35:07.147647023"",""activityDate"":""2021\/02\/22""}]"
Criptografia Para Iniciantes,,,,,Salahoddin Shokranian,"Shokranian, Salahoddin",,,,,,CIENCIA MODERNA,,,,,,,,"A tecnologia moderna de comunicação e armazenamento de informações é uma ciência do século XX cujos pilares são criptografia e teoria de códigos. Este livro procura tratar, particularmente, de uma introdução à criptografia, a ciência de comunicação secreta entre várias fontes autorizadas. Os objetivos da criptografia são a criação de cifras para comunicação de mensagens entre fontes autorizadas, para que as fontes não autorizadas não tenham acesso ao conteúdo das mensagens, bem como o estudo de métodos para descobrir as mensagens interceptadas. O presente livro pretende ser elementar, acessível aos alunos das universidades com conhecimento mínimo em matemática e em teoria dos números. No final do livro, existem três apêndices. Os objetivos destes são a apresentação de temas da teoria dos números com aplicação direta na criptografia e a criação de chaves públicas para comunicação no sistema de chave pública, como RSA.",,,,,,,,,,,104,,,,,,português,,,,,,9788539902750,,0,2.500000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 01:26:51.392127037,,,,,,,Fila 0 | Coluna 1 | Zona 0,PTC2NAEACAAJ,Profissional,0,,0,,http://images.amazon.com/images/P/8539902753.01Z.jpg,
CSS Eficiente,,Técnicas e ferramentas que fazem a diferença nos seus estilos,,,Tárcio Zemel,"Zemel, Tárcio",,,,,,Editora Casa do Código,,2015/06/05,2015,,,,Computers,"Quando aprendemos a trabalhar com CSS, frequentemente nos pegamos perdidos em detalhes fundamentais que não nos são explicados. Por vezes, alguns desses detalhes passam despercebidos até pelo desenvolvedor front-end mais experiente. Mas como ir além do conhecimento básico do CSS e preparar o caminho para explorar tópicos mais avançados? Neste livro, Tárcio Zemel ensina como organizar seu estilo, entender especificidade, como usar diferentes seletores, trabalhar orientado a objetos com CSS e várias outras técnicas que farão diferença no dia a dia do trabalho com os estilos e abrirão novas possibilidades para você explorar ainda mais o CSS.",,,,,,,,,,,138,,,,,,inglês,,,,,,9788555190773,,0,5.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 02:13:03.392922997,,,,,,,,j2iCCwAAQBAJ,Profissional,0,,,,,
CSS Grid Layout,,Criando layouts CSS profissionais,,,Maurício Samy Silva,"Silva, Maurício Samy",,,,,,Novatec Editora,,,,,,,Computers,"A criação de Layout CSS sempre foi uma tarefa trabalhosa, mas agora os profissionais têm uma ferramenta poderosa ao seu alcance, o CSS Grid Layout, uma nova especificação do W3C, que veio para resolver praticamente todos os problemas de posicionamento na tela. Utilizando um novo método de layout CSS, bidimensional, com linhas e colunas, mais simples e muito mais fácil de usar, permite controlar o tamanho e a posição dos componentes da interface e seus conteúdos. Não será mais necessário inflar a marcação HTML com elementos desnecessários para a criação de layouts CSS.Explicações teóricas são abordadas em linguagem didática, dispensando, sempre que possível, o jargão técnico avançado, além de serem acompanhadas de exemplos práticos explicados passo a passo e complementados por arquivos HTML, disponíveis online para consulta e download.Neste livro, Maujor, o dinossauro das CSS, mostra de forma didática os recursos e as funcionalidades dessa nova ferramenta. Com auxílio de exercícios práticos, você aprenderá todas as potencialidades dessa nova tecnologia para criar layouts extremamente profissionais, que antes somente eram possíveis com a utilização de frameworks.Este livro é indicado para desenvolvedores front-end, web designers e estudantes com alguma experiência em CSS.",,,,,,,,,,,176,,,,,,português,,,,,,9788575226322,,0,3.000000,,Read,,,,2018/06/10,,,,,,0,,,,,2018/06/10 01:34:05.844066977,,,,,,,,syM_DwAAQBAJ,Profissional,0,,,,,
CSS3,,Desenvolva aplicações web profissionais com uso dos poderosos recursos de estilização das CSS3,,,Maurício Samy Silva,"Silva, Maurício Samy",,,,,,Novatec Editora,,2011/11/28,2011,,,,Computers,"CSS3 ultrapassou o status de proposta de uma tecnologia que prometia revolucionar a forma como estilizamos documentos para a web e deve obrigatoriamente fazer parte do dia a dia dos designers e desenvolvedores web.Muitas das funcionalidades das CSS3 estão desenvolvidas o bastante para ser empregadas em fase de produção, quer com suporte nativo, quer com uso de prefixos proprietários. Outras tantas estão sendo implementadas em navegadores modernos, possibilitando o seu estudo e o desenvolvimento de suítes para estudos. Saber o que se pode e o que não se pode, o que se deve e o que não se deve usar das CSS3 é um conhecimento indispensável.Este livro tem os seguintes objetivos:- Fornecer uma visão detalhada das CSS, possibilitando aos iniciantes conhecer os mecanismos da aplicação de estilos, sua sintaxe, suas propriedades básicas e os esquemas de posicionamento CSS, bem como estudar e exemplificar valores e unidades CSS.- Apresentar e exemplificar os novos seletores CSS3.- Demonstrar as propriedades avançadas para aplicação de fundos com uso das funcionalidades para background.- Estudar as funcionalidades para aplicação de bordas, sombras, cores e opacidade.- Apresentar e demonstrar os novos contextos para construção de layout com emprego das funcionalidades previstas nos Módulos Multicolunas, Template Layout e Boxes Flexíveis.- Estudar o modo de servir folhas de estilos para diferentes tipos de mídia com uso das funcionalidades do Módulo Media Queries.- Aplicar gradientes, transformações 2D e 3D, transições e animações com uso de CSS3.Maujor aborda as novas funcionalidades das CSS3 de forma clara, em linguagem didática, mostrando vários exemplos práticos no site do livro (http://livrocss3.com.br).",,,,,,,,,,,496,,,,,,português,,,,,,9788575222898,,0,5.000000,,Read,,,,2018/06/10,,,,,,0,,,,,2018/06/10 01:26:51.353062033,,,,,,,,EEOZAwAAQBAJ,Profissional,0,,,,,
Cucumber e RSpec,,Construa aplicações Ruby com testes e especificações,,,Hugo Baraúna,"Baraúna, Hugo",,,,,,Editora Casa do Código,,2014/04/16,2014,,,,Computers,"Todo o desenvolvedor Ruby precisa saber testar suas aplicações. Ruby é, sem dúvida, uma das linguagens mais produtivas que existem e, quando aliada ao poderoso framework Rails, nos permite criar aplicações complexas de forma muito rápida. Porém, é preciso garantir que essas aplicações continuem de fácil manutenção com o passar do tempo e que tenhamos um código de qualidade. Por isso, é primordial que qualquer rubista saiba testar suas aplicações. O Cucumber e o RSpec fornecem ao desenvolver as ferramentas necessárias para criar uma aplicação robusta e bem testada, onde você pode seguir tanto o TDD como o BDD. Nesse livro, Hugo Baraúna, experiente desenvolvedor Ruby, ensina como você pode criar suas aplicações Ruby de forma testável e sem complicações.",,,,,,,,,,,412,,,,,,inglês,,,,,,9788566250763,,0,5.000000,,Read,,,,2018/06/10,,,,,,0,,,,,2018/06/10 02:31:15.771407961,,,,,,,,cI-CCwAAQBAJ,Profissional,0,,,,,
Curso Básico da Linguagem C,,,,,Peter Jandl Junior,"Jandl Junior, Peter",,,,,,Novatec Editora,,2019/03/25,2019,,,,Computers,"A linguagem de programação C originou ou influenciou a grande maioria das principais plataformas de programação da atualidade: Java, C#, PHP, JavaScript, Objective-C, C++, Python e outras. Todas emprestam várias características de C, que ainda é utilizada. Para os iniciantes na programação de computadores, a linguagem C se mostra simples e flexível, permitindo expressar todas as construções necessárias para a implementação de algoritmos, boas práticas de programação, além de técnicas eficientes. Assim, aprender a linguagem C é interessante tanto para desenvolver a lógica de programação, como para facilitar o aprendizado de outras linguagens semelhantes.O livro Curso Básico da Linguagem Cserve de guia para utilizar a linguagem C, ao mesmo tempo que desenvolve conceitos básicos de algoritmos e de programação. Por meio de muitos fragmentos de código e dezenas de exemplos este livro aborda: fundamentos de C; tipos de dados, variáveis, operadores e expressões; entrada e saída; diretivas de controle (decisão e repetição); arrays, strings, ponteiros, enumerações, estruturas e uniões; funções e protótipos; e arquivos.",,,,,,,,,,,232,,,,,,português,,,,,,9788575227329,,0,5.000000,,Read,,,,2019/05/02,,,,,,0,,,,,2019/04/18 20:58:59.634253978,,,,,,,,8ZGODwAAQBAJ,Profissional,0,,,,,"[{""status"":0,""activityYear"":2019,""param1"":""1"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone de Antonio Armando Filho"",""type"":12,""addedDate"":""2019\/05\/02 22:05:19.002833008"",""activityDate"":""2019\/05\/02""}]"
CVS - CONTROLE DE VERSOES E DESENVOLVIMENTO,,COLABORATIVO DE SOFTWARE,,,CRISTIANO CAETANO,"CAETANO, CRISTIANO",,,,,,NOVATEC,,,,,,,,O CVS (Concurrent Versions System) é uma ferramenta open-source de apoio ao desenvolvimento de software cuja principal função é controlar as modificações realizadas nos arquivos de um projeto. Possui um mecanismo automatizado para identificar e controlar,,,,,,,,,,,141,,,,,,português,,,,,,9788575220511,,0,1.000000,,Read,,0,,2018/06/10,,,,,,0,,,,,2018/06/10 01:26:51.394777059,,,,,,,,aJ_YPgAACAAJ,Profissional,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/3AC721CD-01A5-46D6-BF70-5CC0510706A7,
Data Science Para Leigos,,,,,"Lillian Pierson, Eveline V Machado","Pierson, Lillian",,,,,,Alta Books,,2019/04/30,2019,,,,,"Pensando em fazer carreira com o data science? Este livro será o seu guia. Data Science Para Leigos se destina a profissionais e estudantes interessadosem transformar o mar de dados estruturados, semiestruturados e não estruturados de uma organização em informações comerciais úteis. Fique por dentro do que está acontecendo nesse amplo setor e aprendaa transformar dados confusos em histórias significativas que podem ser compreendidas por todos os integrantes de uma organização. Abra este livro e descubra... O básico do data science Big data e sua infraestrutura Python®, R, SQL e GIS Visualização de dados Análise em tempo real e Internet das Coisas MapReduce, Hadoop® e outras ferramentas de big data Aplicativos reais",,,,,,,,,,,384,,,,,,português,,,,,,9788550804804,,0,4.500000,,Read,,,,2019/11/03,,,,,,0,,,,,2019/10/27 15:23:07.289870023,,,,,,,,DoAgwQEACAAJ,Pessoal,0,,,,http://images.amazon.com/images/P/8550804800.01Z.jpg,"[{""status"":0,""activityYear"":2019,""param1"":""1"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone de Antonio Armando Filho"",""type"":12,""addedDate"":""2019\/11\/03 18:46:09.474257946"",""activityDate"":""2019\/11\/03""}]"
